Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Family, Animation, Adventure, Comedy, Fantasy",en,2019-11-20,7.3,mystery;ancient;olaf,Frozen II
"Horror, Action",en,2021-08-13,7.5,escape;tries;it's,Swim
"Drama, Science Fiction",zh,2021-08-27,6.6,suitable;children;plants,Mutation on Mars
"Science Fiction, Thriller, Mystery",en,2021-09-03,5.5,near;missing;hired,Zone 414
"Fantasy, Adventure",en,2011-07-07,8.1,ron;powers;endow,Harry Potter and the Deathly Hallows: Part 2
"Action, Adventure, Science Fiction",en,2015-04-22,7.3,villainous;program;awry,Avengers: Age of Ultron
"Action, Adventure, Fantasy, Science Fiction",en,2017-10-24,7.6,stop;thor;hela,Thor: Ragnarok
"Horror, Fantasy",en,2019-09-04,6.9,malevolent;members;phone,It Chapter Two
"Family, Animation, Drama",en,1994-06-23,8.3,face;or;savannah,The Lion King
"Drama, History",en,2021-11-18,8.0,serena;served;tennis,King Richard
"Thriller, Horror, Mystery",en,2021-10-21,7.5,1960s;wannabe;shady,Last Night in Soho
"Action, Fantasy",en,1992-06-19,6.9,penguin;catwoman;calling,Batman Returns
"Adventure, Fantasy, Drama, Romance",en,2010-06-23,6.2,vampire;decision;ignite,The Twilight Saga: Eclipse
"Crime, Drama, Thriller",en,2021-09-03,6.4,fractured;murder;decades,Wild Indian
"Comedy",en,2012-03-01,6.8,progresses;make;name,Project X
"Action",en,2021-08-19,6.6,attraction;confrontation;anna,The Protégé
"Crime, Thriller, Drama, Action",en,2021-11-05,5.9,ida;regain;prison,Ida Red
"Horror, Thriller",en,2013-01-14,5.6,within;baby;sleep,The Haunting of Helena
"Action, Adventure, Crime",zh,2020-09-30,6.3,security;accountant;deadliest,Vanguard
"Adventure, Fantasy, Action",en,2003-07-09,7.8,pirate;pirate;daughter,Pirates of the Caribbean: The Curse of the Black Pearl
"Animation, Comedy, Family",en,2021-07-07,7.5,marvel;banished;simpsons,The Simpsons: The Good, the Bart, and the Loki
"Action, Thriller, Crime",en,2021-01-15,7.0,boy’s;run;stop,The Marksman
"Adventure, Family, Drama",fr,2021-12-15,7.3,forest;harmless;seemingly,Vicky and Her Mystery
"Animation, Adventure, Comedy, Fantasy",ja,2019-08-30,8.4,so;seemingly;serious,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson
"Drama, Crime",pt,2021-10-22,7.1,seeking;living;trafficker,7 Prisoners
"Documentary",es,2022-02-23,6.5,terrorist;ignited;insiders,11M
"Science Fiction, Action",ko,2021-04-12,7.6,human;involved;gets,Seobok: Project Clone
"Animation, Family, Comedy, Fantasy, Adventure",en,2004-05-19,7.2,mother;everyone;far,Shrek 2
"Adventure, Fantasy, Family",en,2010-02-01,6.2,percy;skills;percy,Percy Jackson & the Olympians: The Lightning Thief
"Romance, Animation, Drama",ja,2016-08-26,8.5,places;occurrence;taki,Your Name.
"Comedy",en,2021-12-17,5.9,do;ready;inheritance,Chief Daddy 2: Going for Broke
"Adventure, Action, Science Fiction",en,2016-04-27,7.4,act;following;causing,Captain America: Civil War
"Crime, Thriller, Drama",en,2019-10-02,8.2,1980s;figure;turns,Joker
"Crime, Drama, Thriller, Action",en,2012-12-20,6.6,suspect;jack;secret,Jack Reacher
"Comedy, Drama",it,2022-03-04,6.7,real-life;son;teenage,The Invisible Thread
"Drama, Action, Thriller",en,2021-08-11,5.9,make;whether;power,SAS: Red Notice
"Adventure, Fantasy, Drama",en,2020-09-04,7.0,warrior;huns;country,Mulan
"Comedy, Romance",en,2022-02-10,6.1,hatch;plan;dumped,I Want You Back
"Adventure, Fantasy, Action",en,2006-07-06,7.3,avoid;davy;ghostly,Pirates of the Caribbean: Dead Man's Chest
"Action",en,2009-09-29,6.5,transformed;haunted;very,Ninja Assassin
"Crime, Drama, Comedy",en,2013-12-25,8.0,involving;cooperate;securities,The Wolf of Wall Street
"Animation, Adventure, Fantasy, Family, TV Movie",en,2021-12-30,7.4,wits;use;troll,Hilda and the Mountain King
"Action, Adventure, Drama",ja,2021-06-04,7.8,kenshin;burden;protector,Rurouni Kenshin: The Beginning
"Action, Adventure, Comedy",ml,2021-12-24,7.2,if;foe;kerala,Minnal Murali
